Name,2,4,8,16,32,64,128,256,512,1024,2048,4096
Classical,0,0,0,0,0,1,11,73,572,4500,35722,286007
Optimized,0,0,0,0,0,0,0,7,42,321,2579,20706
Optimized + Reserve,0,0,0,0,0,0,0,6,42,321,2582,20703
Optimized + Reserve + ijk loop order,0,0,0,0,0,0,0,13,118,1295,20950,247609
